,FIPS,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party2000,party2004,party2008,party2012,party2016,Switch_1996_2000,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
34,1097,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.559318759,0.586932532,0.540441176,0.542667444,0.550640569,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Mobile,Alabama
35,1099,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.575689867,0.611600587,0.548791326,0.536141203,0.564209911,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Monroe,Alabama
36,1103,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.603875261,0.6908971,0.712555894,0.71753543,0.740186399,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Morgan,Alabama
37,1107,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.504215457,0.566141042,0.539783451,0.533139111,0.571787885,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Pickens,Alabama
38,1109,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.574544765,0.629723134,0.573557865,0.564471539,0.58421932,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Pike,Alabama
39,1111,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.58921581,0.680702144,0.690966872,0.69474899,0.75635614,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Randolph,Alabama
40,1115,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.710543794,0.805870855,0.811106548,0.825964493,0.824244792,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,St. Clair,Alabama
41,1117,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.766981071,0.80393126,0.761890052,0.772222643,0.721156695,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Shelby,Alabama
42,1121,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.542493419,0.613117934,0.588001403,0.576693734,0.617056306,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Talladega,Alabama
43,1123,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.603273242,0.690285205,0.679198384,0.658346168,0.697629067,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Tallapoosa,Alabama
44,1125,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.565641947,0.614019762,0.575387774,0.582109683,0.577061669,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Tuscaloosa,Alabama
45,1127,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.525954526,0.675679487,0.72323049,0.759124855,0.823357763,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Walker,Alabama
46,1129,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.541995787,0.613556445,0.644330484,0.656299841,0.708074534,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Washington,Alabama
47,1133,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.688237819,0.780005757,0.807795833,0.855672226,0.89479298,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Winston,Alabama
48,2001,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.70327524,0.605068638,0.595265423,0.763921264,0.479059958,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 1,Alaska
49,2002,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.573226854,0.521224347,0.520879121,0.608191654,0.580480699,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 2,Alaska
50,2005,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.550722386,0.512677915,0.480977116,0.494535184,0.465848722,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 5,Alaska
51,2006,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.633114754,0.599127061,0.62045721,0.67419479,0.582624113,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 6,Alaska
